,code,reg,alf15,alf14,alf13,alf12,alf11,alf10,alf09,alf08,alf07,alf06,alf05,alf04,alf03,alf02,alf01,alf00,alf99,alf98,alf97,alf96,alf95,alf94,alf93,af15,af14,af13,af12,af11,af10,af09,af08,af07,af06,af05,af04,af03,af02,af01,af00,af99,af98,af97,af96,af95,af94,af93,apl15,apl14,apl13,apl12,apl11,apl10,apl09,apl08,apl07,apl06,apl05,apl04,apl03,apl02,apl01,apl00,apl99,apl98,apl97,apl96,apl95,apl94,apl93
16,17,54,13886.0,13998,14195,14010,14173,14307,14543,14268,13222,13099,13103,12982,12820,13162,13362,13513,13096,12751,12278,11921,11739,11133,10545,39275.0,39291,39116,38550,38152,38018,37747,37365,37212,36788,36464,33466,32753,32274,32060,31665,31361,29308,30565,30320,29991,29770,29592,18467.0,18237.0,17972.0,17160.0,16757.0,16587.0,16685.0,16657.0,15955.0,16012.0,16822.0,17290.0,17942.0,18833.0,19473.0,20147.0,20712.0,21076.0,21430.0,21674.0,21890.0,21873.0,21513.0
17,18,24,5588.0,5544,5466,5498,5460,5282,5317,5246,4894,4960,5057,4950,4962,5013,4961,4954,4780,4538,4391,4180,4098,3913,3636,19568.0,19663,19529,19351,19472,19618,19590,19713,19734,19755,19948,18425,18246,18150,18258,18280,18267,17205,17944,17824,17675,17643,17649,13145.0,13409.0,13384.0,13125.0,12972.0,12749.0,13008.0,13028.0,12572.0,12414.0,13018.0,13280.0,13560.0,14041.0,14481.0,15034.0,15528.0,15808.0,16063.0,16208.0,16337.0,16323.0,16401.0
18,19,74,4114.0,4125,4126,4134,4167,4183,4251,4327,4054,3879,3993,3996,4078,4173,4257,4323,4071,4172,4025,4078,4048,4026,3969,13936.0,13851,13737,13571,13457,13382,13256,13224,13173,13020,12847,11730,11439,11284,11137,11119,11112,10416,10999,11009,11040,11041,11078,6186.0,6279.0,6350.0,6248.0,6095.0,5989.0,5991.0,6040.0,5721.0,5706.0,5880.0,5957.0,6283.0,6572.0,6673.0,6996.0,7173.0,7425.0,7304.0,7504.0,7449.0,7533.0,7513.0
19,21,26,7002.0,6983,7068,7179,7280,7310,7627,7870,7414,7378,7604,7500,7583,7743,7778,7866,7638,7676,7526,7226,6732,6676,6534,34867.0,34591,34464,34242,34128,34057,34158,34309,34402,34558,34837,31988,31545,31299,31348,31308,31318,29275,31074,31012,30700,30478,30126,20699.0,20963.0,21070.0,20304.0,20017.0,19420.0,19535.0,19841.0,19064.0,18969.0,19657.0,19838.0,20315.0,21093.0,21299.0,21713.0,22318.0,23423.0,23270.0,23491.0,22252.0,22321.0,21872.0
20,22,53,10273.0,10489,10507,10405,10432,10307,10456,10305,9374,9041,9177,8965,8878,8949,8990,8895,8829,8556,8354,8216,8304,7998,7900,40423.0,40279,40168,39749,39464,39195,38918,38615,38306,37809,37347,34797,33960,33585,33328,33066,32854,30595,32534,32851,32674,32657,32598,17939.0,18246.0,18209.0,17960.0,17751.0,17987.0,18414.0,18459.0,17633.0,17546.0,17987.0,18092.0,18746.0,19495.0,20085.0,20579.0,21153.0,21614.0,21530.0,21685.0,21404.0,20974.0,20531.0
21,23,74,1851.0,1912,1907,1877,1873,1864,1836,1860,1775,1722,1798,1829,1838,1905,1828,1814,1758,1669,1648,1563,1477,1415,1401,5738.0,5763,5768,5782,5830,5864,5868,5886,5956,5924,5916,5511,5399,5309,5282,5230,5197,4879,5175,5142,5093,5052,5041,3677.0,3820.0,3856.0,3765.0,3821.0,3797.0,3899.0,3815.0,3676.0,3666.0,3723.0,3728.0,3958.0,4155.0,4215.0,4402.0,4579.0,4691.0,4695.0,4671.0,4654.0,4438.0,4390.0
22,24,72,9009.0,9151,8931,8786,8744,8614,8634,8484,7888,7608,7727,7589,7664,7893,8040,8053,7972,7802,7483,7280,7100,6818,6611,22571.0,22699,22619,22464,22381,22423,22286,22214,22020,21818,21783,20314,19900,19646,19450,19149,19086,18107,18686,18625,18399,18295,18177,10003.0,10112.0,10084.0,10074.0,9886.0,9641.0,9651.0,9746.0,9419.0,9367.0,9809.0,10214.0,10793.0,11266.0,11560.0,11797.0,12261.0,12579.0,12599.0,12793.0,12674.0,12773.0,12741.0
23,25,43,8064.0,8032,8054,8316,8540,8477,8740,8689,7928,7535,7431,7100,7048,7152,7203,7257,7141,6803,6611,6582,6571,6410,6288,37245.0,37227,37121,36719,36723,36773,36408,36204,36075,36012,36042,33360,33017,32939,31784,31803,32096,30525,32125,32006,31903,31801,31673,25098.0,25155.0,25209.0,24872.0,24979.0,24493.0,24470.0,24679.0,23778.0,23744.0,24373.0,24422.0,24820.0,25354.0,26237.0,27206.0,27964.0,28341.0,28802.0,29072.0,28581.0,28357.0,27392.0
24,26,82,11145.0,11188,11253,10919,10948,10866,10965,11023,10288,10215,10093,9871,9773,9828,9800,9846,9693,9457,9290,9175,9159,8672,8521,37596.0,37523,37174,36491,36093,35734,35442,35469,35266,34949,34546,32503,31842,31357,30898,30501,30332,28476,29559,29254,28753,28254,27911,20284.0,20414.0,20171.0,20051.0,19786.0,19576.0,19645.0,20094.0,19306.0,19463.0,20199.0,20439.0,20872.0,21490.0,22278.0,22656.0,23136.0,23587.0,23920.0,24142.0,23734.0,23446.0,22848.0
25,27,23,8973.0,9156,9313,9204,9086,9086,9354,9114,8444,8346,8678,8516,8480,8596,8696,8741,8609,8532,8170,7737,7285,6840,6708,48095.0,47944,47883,47582,47068,46820,46454,45909,45646,45429,45219,42454,41924,41408,41384,41362,41594,39108,40968,40792,40487,40414,40220,24743.0,24883.0,25277.0,25345.0,24841.0,24307.0,24140.0,23996.0,22838.0,22733.0,23495.0,23559.0,23778.0,24374.0,24769.0,25812.0,26588.0,27031.0,26941.0,27135.0,26245.0,25668.0,25117.0
26,28,24,6751.0,6772,6670,6441,6410,6429,6489,6463,6003,5852,5951,5795,5651,5779,5681,5685,5643,5526,5316,5183,4912,5254,5364,34033.0,33919,33806,33535,33545,33415,33118,32931,32929,32741,32675,30771,30344,30182,30117,30195,30279,28488,29911,30028,29910,29738,29608,15433.0,15776.0,15562.0,15401.0,15181.0,15152.0,15046.0,15107.0,14375.0,14163.0,14861.0,15101.0,15284.0,15819.0,16080.0,16833.0,17808.0,18317.0,18826.0,19135.0,19001.0,17973.0,16795.0
27,29,53,13340.0,13364,13283,13360,13248,13677,13973,13872,12680,12542,12716,12543,12586,12751,13008,13179,13068,12705,12458,12450,12250,11332,11005,63455.0,63129,63071,62762,62569,62398,62321,62121,61898,61509,61040,54454,53373,52836,52519,52078,51992,48361,51090,51056,50523,50150,49991,33517.0,33995.0,33866.0,33591.0,33381.0,32996.0,32626.0,32227.0,30506.0,30129.0,31270.0,31937.0,33015.0,34450.0,35055.0,35715.0,36441.0,36919.0,37149.0,37367.0,37101.0,36572.0,35730.0
28,2A,94,3119.0,3168,3171,3150,3142,3328,3324,3385,3202,3171,3332,3330,3566,3729,3880,3984,4142,4273,4280,4205,4043,3928,3681,7617.0,7579,7520,7464,7410,7520,7543,7557,7638,7611,7640,6975,6880,6945,6881,6752,6730,6252,6640,6630,6495,6469,6342,3247.0,3255.0,3261.0,3272.0,3276.0,3330.0,3375.0,3356.0,3271.0,3399.0,3619.0,3648.0,3813.0,3985.0,4077.0,4223.0,4420.0,4476.0,4567.0,4650.0,4500.0,4489.0,4501.0
29,2B,94,4295.0,4298,4338,4210,4211,4246,4341,4292,4186,4156,4179,4142,4017,4079,4139,4203,4164,4209,4275,4179,3892,3799,3633,8338.0,8389,8422,8283,8178,8162,8054,8072,8014,7995,7942,7187,7043,6886,6844,6862,6833,6318,6766,6762,6627,6590,6494,5221.0,5310.0,5313.0,5235.0,5048.0,5080.0,5030.0,5157.0,5114.0,5179.0,5337.0,5389.0,5407.0,5535.0,5488.0,5549.0,5763.0,5748.0,5897.0,5993.0,5627.0,5818.0,5472.0
30,30,91,22493.0,22762,22721,22201,22171,22191,22168,21465,20271,19555,19380,18486,18342,18507,18416,18226,17579,16898,16424,16177,16012,15276,14905,51321.0,51269,50889,50227,49935,49555,49358,48643,48317,47654,47352,44151,43395,42634,41861,41014,40429,37120,38586,37448,36829,36196,35348,28330.0,28460.0,28172.0,27628.0,27320.0,26679.0,26279.0,26537.0,25856.0,26036.0,27358.0,28004.0,28765.0,29622.0,30245.0,30563.0,30868.0,30768.0,30730.0,30760.0,29988.0,29594.0,29184.0
31,31,73,23305.0,23261,22880,22642,22812,22968,23467,22999,21537,21304,21810,21055,21206,21291,21601,21487,20703,20657,19826,19796,19257,18152,17645,93965.0,92529,90769,88833,87471,85840,85076,83918,82856,81795,80463,73298,71674,70027,68808,66706,64949,57922,61450,60105,58726,57182,56177,57947.0,56777.0,55757.0,53870.0,52071.0,48825.0,47565.0,46360.0,43659.0,42958.0,44368.0,44506.0,45745.0,47034.0,47671.0,48516.0,48589.0,50064.0,49555.0,49750.0,47927.0,45719.0,44334.0
32,32,73,3428.0,3551,3524,3448,3442,3433,3476,3397,3065,3016,3010,2907,2958,2991,2964,2969,2915,2795,2677,2663,2690,2626,2539,10884.0,10957,10964,10811,10701,10696,10628,10477,10331,10141,10004,9047,8732,8513,8340,8077,7973,7343,7660,7499,7396,7256,7039,4311.0,4413.0,4385.0,4285.0,4222.0,4128.0,4112.0,4097.0,3861.0,3675.0,3750.0,3888.0,4056.0,4283.0,4387.0,4497.0,4698.0,4775.0,4810.0,4900.0,4866.0,4783.0,4790.0
33,33,72,26769.0,26786,26909,26754,27012,27078,27329,26991,25118,24798,25159,24708,24441,24734,24778,24718,23844,23773,23096,23142,23424,22319,21776,105225.0,103651,101734,99781,98361,96708,94822,93703,92399,91647,90356,82331,80756,79623,78138,76624,75729,69241,73335,72738,72261,71257,71143,59650.0,59017.0,57751.0,55345.0,53763.0,51766.0,51043.0,50963.0,47940.0,47965.0,50399.0,51710.0,53648.0,55634.0,56417.0,58079.0,58921.0,60078.0,60486.0,61393.0,61195.0,59362.0,58239.0
34,34,91,32446.0,32814,32491,31827,31684,31841,31940,31956,30178,29862,30009,29725,29503,29434,29366,28876,27935,27345,26495,25269,25343,24429,23383,74997.0,74097,73173,72036,71196,70165,69356,68746,68303,67585,67130,62705,61569,60493,59268,57530,56313,50471,53642,52535,51477,50193,49092,44543.0,44002.0,42685.0,41376.0,40586.0,39942.0,39591.0,39300.0,37346.0,37232.0,38561.0,39648.0,40743.0,41867.0,42475.0,42908.0,43195.0,43365.0,43039.0,42017.0,41186.0,40524.0,39164.0
35,35,53,13243.0,13025,12944,12721,12542,12422,12602,12163,10882,10295,10565,10293,10205,10277,10613,10747,10629,10730,10622,10760,10871,10581,10799,81877.0,81055,79750,78754,77628,76366,75258,74157,73133,71983,71118,65178,63491,62277,61486,60541,59817,55118,58212,57738,57225,56684,56539,46564.0,46399.0,45635.0,44486.0,42831.0,41449.0,41305.0,40713.0,37904.0,37208.0,38179.0,38875.0,39997.0,41108.0,42170.0,43350.0,44222.0,44664.0,43980.0,44087.0,42956.0,41316.0,39990.0
36,36,24,3570.0,3576,3674,3540,3633,3560,3576,3625,3320,3246,3370,3378,3385,3509,3511,3410,3326,3230,3030,3022,2860,2649,2561,13174.0,13314,13364,13410,13582,13597,13732,13797,13827,13798,13784,12821,12630,12639,12565,12454,12476,11792,12272,12197,12168,12130,12127,10077.0,10113.0,10193.0,10287.0,10402.0,10439.0,10573.0,10658.0,10031.0,9897.0,10176.0,10281.0,10414.0,10920.0,11100.0,11246.0,11963.0,12034.0,12040.0,12128.0,12183.0,12024.0,11678.0
