,code,reg,alf15,alf14,alf13,alf12,alf11,alf10,alf09,alf08,alf07,alf06,alf05,alf04,alf03,alf02,alf01,alf00,alf99,alf98,alf97,alf96,alf95,alf94,alf93,af15,af14,af13,af12,af11,af10,af09,af08,af07,af06,af05,af04,af03,af02,af01,af00,af99,af98,af97,af96,af95,af94,af93,apl15,apl14,apl13,apl12,apl11,apl10,apl09,apl08,apl07,apl06,apl05,apl04,apl03,apl02,apl01,apl00,apl99,apl98,apl97,apl96,apl95,apl94,apl93
56,56,53,11589.0,11595,11678,11529,11459,11375,11557,11263,10369,9837,9994,9708,9693,9805,9806,9936,9971,9887,9814,9636,9571,8965,8654,52489.0,52135,51759,51150,50657,50223,49853,49492,49159,48706,48356,44789,43861,43443,43055,42654,42555,39772,42222,41653,41518,41271,40975,25978.0,26324.0,26068.0,25388.0,24928.0,24371.0,24403.0,24388.0,23350.0,23361.0,24205.0,24822.0,26018.0,27131.0,27778.0,28271.0,29101.0,29724.0,30090.0,29566.0,29143.0,28866.0,28189.0
57,57,41,19859.0,19942,20031,19883,20054,20393,20802,20769,19634,19535,18893,18690,18463,18681,19014,19047,18534,18467,17629,17480,17440,17398,17016,61475.0,61500,61540,60630,60938,61486,62102,62711,63708,64697,65683,61983,62320,62694,63329,63966,65027,62274,65804,66044,60059,59762,59343,44855.0,45082.0,44836.0,44009.0,43381.0,42527.0,42579.0,42804.0,41443.0,41561.0,42195.0,43398.0,44199.0,45779.0,47392.0,49277.0,51069.0,52209.0,51848.0,52796.0,52026.0,51679.0,50488.0
58,58,26,4001.0,4105,4070,4040,4005,4072,4126,4071,3919,3954,4030,3944,3961,3934,3888,3873,3835,3671,3472,3328,3303,3290,3127,11521.0,11572,11667,11639,11812,11900,12061,12192,12313,12379,12480,11827,11742,11715,11696,11730,11842,11254,11821,11809,11850,11907,11950,7877.0,8272.0,8238.0,8140.0,8033.0,7944.0,8052.0,8159.0,7795.0,7782.0,8071.0,8151.0,8513.0,8687.0,8937.0,9288.0,9420.0,9646.0,9797.0,9974.0,9822.0,9793.0,9443.0
59,59,31,55295.0,59847,60441,60866,61428,61440,63249,64231,61251,60815,61501,60703,60476,61162,61306,61117,59671,57885,55227,53326,51781,48964,46237,205467.0,204958,203512,202607,201699,201244,200846,201096,201859,202960,204387,196140,195521,195655,196818,197955,199826,189597,199391,198695,198202,197363,196784,163472.0,158773.0,156461.0,153615.0,152247.0,148992.0,150001.0,149798.0,144217.0,143854.0,148052.0,148741.0,151770.0,155637.0,158491.0,162204.0,166188.0,168352.0,170341.0,172589.0,170977.0,169332.0,167146.0
60,60,22,12518.0,12752,12562,12615,12513,12345,12269,11968,11130,10791,10852,10522,10411,10493,10339,10295,10208,9991,9597,9172,8883,8330,7844,66187.0,65794,65009,64692,64458,64043,63733,63654,63750,63759,63784,60362,59899,59822,59923,59689,59728,55678,58917,58766,58614,58359,58198,36769.0,37064.0,36920.0,36264.0,35403.0,34834.0,35167.0,35482.0,33428.0,33444.0,34413.0,34456.0,34994.0,35718.0,36389.0,36987.0,38039.0,38684.0,38723.0,38817.0,38135.0,37127.0,36556.0
61,61,25,4734.0,4832,4855,4960,4908,4796,5002,4857,4485,4475,4555,4594,4658,4775,4814,4777,4585,4796,4786,4836,4778,4852,4731,18550.0,18913,19123,19254,19302,19357,19398,19472,19564,19671,19724,19011,18928,18930,19208,19427,19582,18714,19551,19760,19602,19629,19687,13145.0,13367.0,13418.0,13411.0,13391.0,13176.0,13259.0,13258.0,12842.0,12965.0,13136.0,13201.0,13447.0,13944.0,14116.0,14469.0,14654.0,14569.0,14401.0,14613.0,14399.0,13528.0,13183.0
62,62,31,31552.0,40847,40815,40420,40023,39642,40374,40018,37676,36961,37121,36428,36145,36803,36527,36223,34743,33655,31937,31014,29829,28373,27158,115919.0,115677,114982,114413,113891,113410,113096,112963,112994,113449,114190,109328,109147,109492,110338,110899,111697,107196,110853,109029,108573,107997,107992,93242.0,78326.0,77647.0,76660.0,77310.0,76745.0,77528.0,77446.0,74539.0,74334.0,77057.0,77668.0,79209.0,81660.0,83686.0,85343.0,86859.0,88968.0,88901.0,91004.0,90005.0,89475.0,88070.0
63,63,83,9821.0,9883,9935,9931,10049,10203,10709,10862,10089,9966,10101,9833,10004,10170,10331,10349,10160,10218,10063,10068,10031,9718,9706,42318.0,41965,41438,40921,40347,40081,39748,39681,39445,39333,39188,36032,35488,35144,34974,34935,34990,32945,34695,34640,34559,34563,33952,25738.0,26000.0,25776.0,25071.0,24630.0,23547.0,23407.0,23105.0,21951.0,21850.0,22572.0,22513.0,22858.0,23601.0,23815.0,24142.0,24385.0,25341.0,25552.0,25859.0,25527.0,25158.0,24873.0
64,64B,72,5180.0,5345,5390,5308,5298,5194,5357,5417,5153,5197,5241,5304,5384,5528,5568,5566,5293,5280,5143,5166,5132,4931,4831,19331.0,19160,19326,19139,18896,18756,18653,18558,18471,18405,18302,17306,17027,16866,16710,16451,16199,14778,15596,15357,15200,15002,14837,,,,,,,,,,,,,,,,,,,,,,,
65,65,73,4353.0,4317,4280,4214,4265,4374,4572,4442,4155,4072,4119,4044,4057,4062,4046,4080,4059,4010,4050,3938,3923,3878,3700,13812.0,13818,13778,13696,13608,13762,13847,13841,13856,13798,13664,12633,12417,12349,12302,12228,12245,11410,11919,11832,11807,11635,11587,8634.0,8943.0,8984.0,8831.0,8698.0,8587.0,8681.0,8702.0,8324.0,8284.0,8588.0,8853.0,9210.0,9496.0,9741.0,9877.0,10232.0,10358.0,10376.0,10395.0,10190.0,10077.0,9660.0
66,66,91,15899.0,15912,15837,15590,15518,15552,15505,15187,14271,13986,14043,13772,13653,13559,13479,13364,13030,12655,12103,11815,11527,11135,10829,29738.0,29492,29222,28786,28564,28266,27958,27760,27493,27117,26870,25178,24879,24311,23728,23180,22763,21127,21599,21360,21006,20672,20222,16630.0,16251.0,15629.0,15104.0,14795.0,14225.0,14106.0,14222.0,13685.0,13681.0,14350.0,14549.0,15209.0,15805.0,16030.0,16206.0,16421.0,16601.0,16468.0,16390.0,15963.0,15993.0,15673.0
67,67,42,19651.0,20113,20319,20380,20590,20472,20714,20677,19061,18447,18603,18040,17187,17230,16879,16739,16465,15461,14930,14990,15135,15570,15724,76043.0,76007,75581,75069,74885,74914,74958,74809,74846,74901,74581,69374,68169,67552,66776,66161,65532,59544,63331,62732,61829,60844,60052,42352.0,42232.0,41297.0,40022.0,38612.0,37294.0,36940.0,36679.0,34932.0,34557.0,35181.0,35085.0,35011.0,35185.0,35287.0,35614.0,36140.0,36104.0,35203.0,35108.0,34662.0,33579.0,32235.0
68,68,42,13932.0,14362,14474,14663,14899,15092,15431,15385,14067,13489,13413,12738,12470,12376,12814,12818,12617,12329,11965,11878,11651,11176,11166,49912.0,50183,50005,49642,49701,49694,49671,49804,49851,49938,49860,47208,46640,46279,46377,46241,42615,39977,42292,42130,40808,40057,39666,28333.0,28188.0,27695.0,26839.0,25997.0,25196.0,24831.0,24522.0,23114.0,22380.0,22828.0,22495.0,22678.0,22821.0,23273.0,23632.0,24337.0,24299.0,23723.0,23391.0,22959.0,22095.0,20734.0
69,69,82,25550.0,25664,25084,24699,24648,24550,25091,25194,23600,24037,24335,24027,23755,24236,24775,25034,25109,25178,24999,25634,26116,26092,26036,143507.0,141553,138882,136257,134318,132795,131059,129428,128366,127441,126375,119616,117205,115953,115045,113789,112822,102522,110726,110004,108701,107688,106529,101022.0,99997.0,97966.0,95852.0,93713.0,90990.0,90029.0,89156.0,84336.0,84464.0,86268.0,86363.0,86859.0,88144.0,88521.0,88510.0,88233.0,87848.0,85813.0,85242.0,82487.0,78933.0,72478.0
70,70,43,5268.0,5276,5264,5334,5395,5396,5550,5475,5077,4952,4888,4722,4705,4699,4692,4608,4459,4386,4113,3978,3802,3539,3414,16741.0,16925,16966,17046,17172,17231,17174,17054,17034,17115,16965,15607,15357,15282,15205,15227,15302,14590,15050,15033,15013,14940,15012,7725.0,7913.0,7904.0,7982.0,8000.0,7871.0,8062.0,8058.0,7734.0,7697.0,7892.0,8113.0,8442.0,8846.0,9252.0,9747.0,10164.0,10556.0,10640.0,10841.0,10794.0,10938.0,10833.0
71,71,26,8109.0,8207,8266,8292,8339,8425,8602,8626,7852,7706,7906,7817,8012,8271,8431,8364,8285,8435,8186,8273,8137,7904,7692,36101.0,36231,36155,36188,36072,36110,36268,36362,36369,36300,36420,34338,34052,34098,34270,34339,34709,33123,34860,35123,35360,35143,35357,23887.0,24568.0,24711.0,24398.0,24182.0,23872.0,24098.0,24484.0,23318.0,23115.0,23876.0,24132.0,24815.0,25842.0,25992.0,26702.0,27353.0,28066.0,28395.0,29099.0,29234.0,28710.0,27748.0
72,72,52,9643.0,9758,9693,9775,9559,9369,9587,9348,8542,8153,8237,7893,7858,7935,7903,7974,8233,7969,7876,7902,7951,7675,7290,42703.0,42894,42852,42682,42562,42376,42124,41491,41231,41143,40708,38599,37953,37432,37269,37067,37127,35199,36778,36642,36369,36269,36053,24323.0,24492.0,24478.0,24247.0,23721.0,23142.0,23262.0,23086.0,21875.0,21606.0,22355.0,22524.0,23343.0,23895.0,24405.0,24981.0,26090.0,26753.0,26918.0,27683.0,27704.0,27553.0,27144.0
73,73,82,4695.0,4759,4749,4810,4874,4916,5031,5090,4599,4439,4583,4473,4552,4689,4871,5004,4999,4914,4848,4798,4849,4625,4488,30880.0,30875,30478,30059,30062,30049,29891,29851,29779,29608,29377,27677,27212,26875,26673,26299,25969,24083,25223,24965,24617,24396,24180,18117.0,18071.0,17935.0,17666.0,17689.0,17262.0,17319.0,17440.0,16504.0,16160.0,16967.0,17027.0,17688.0,17924.0,18433.0,18626.0,19083.0,19375.0,19120.0,18980.0,18261.0,17698.0,16333.0
74,74,82,7149.0,7270,7474,7759,8011,8160,8466,8488,7844,7548,7905,7815,7997,8200,8612,8955,8995,8813,8799,8615,8593,8566,8561,50841.0,51084,50799,50404,50406,50284,49984,49432,49525,49364,49336,46384,45547,44719,42740,41987,41194,37294,39957,39409,38651,37862,37442,23070.0,23012.0,23059.0,22620.0,22204.0,21365.0,20795.0,20599.0,19479.0,19053.0,19928.0,19800.0,20423.0,20561.0,20996.0,21214.0,21418.0,21504.0,21408.0,20739.0,20370.0,19843.0,17577.0
75,75,11,19823.0,21391,22482,25367,26939,28216,29071,29969,28722,29368,29562,28989,28113,29470,31244,32691,32443,33026,32612,32680,32233,31713,30999,115028.0,117460,117348,116185,116238,115905,115701,114327,114031,114048,113096,106689,106694,105560,104758,102982,102696,71753,103461,103852,103906,104249,105281,80466.0,79419.0,77687.0,72597.0,70607.0,68815.0,66980.0,66654.0,61878.0,60463.0,60448.0,58102.0,56841.0,55950.0,55019.0,53872.0,51480.0,51075.0,46947.0,44640.0,39719.0,35188.0,28123.0
76,76,23,19138.0,19060,19405,19463,19746,19728,20195,20571,19361,19324,19707,19410,19486,19977,20179,20352,20245,19931,19523,19160,18990,18513,18080,93519.0,93166,92693,92050,91970,92066,91938,92128,92294,92810,93117,89075,88881,89244,89833,90233,90997,86516,90804,90754,90515,90229,90101,76130.0,76764.0,75808.0,74308.0,73185.0,71413.0,72055.0,72963.0,70033.0,69411.0,72181.0,73274.0,75369.0,77615.0,79019.0,80960.0,82689.0,83567.0,82859.0,83189.0,81193.0,78692.0,76394.0
77,77,11,19388.0,19334,18800,18251,18506,18494,18607,18514,16725,15845,15391,15125,14226,14698,15262,15294,13601,14878,14662,14641,13985,12726,11454,119971.0,118138,116461,114651,113799,112650,111683,110322,109170,108669,108531,100986,98967,97788,97028,95794,94405,85772,92528,92175,91223,89892,88687,54290.0,54224.0,53208.0,51688.0,50766.0,49278.0,48909.0,48902.0,46344.0,45846.0,47176.0,47420.0,47646.0,48367.0,49473.0,49837.0,48543.0,51789.0,49986.0,50121.0,48820.0,47075.0,45110.0
78,78,11,13467.0,13408,13223,13152,13374,13424,13475,13470,11907,11479,11677,11256,11110,11482,12303,13175,12807,14183,14499,14983,15661,14974,14849,120925.0,120354,119395,118658,118203,117337,116532,116163,116246,115960,115832,107831,106874,105786,106999,106287,106649,86518,103428,103358,103187,102277,101579,49022.0,48312.0,47240.0,46307.0,45258.0,43946.0,43941.0,44352.0,41921.0,41679.0,42678.0,42981.0,42860.0,43638.0,44359.0,43835.0,43494.0,42641.0,41735.0,42356.0,39733.0,37719.0,35749.0
79,79,54,6970.0,7053,7000,6929,6614,6527,6724,6624,6093,6018,6199,6042,6150,6285,6334,6395,6232,6054,5949,5910,5915,5885,5850,25264.0,25220,25014,24769,24511,24232,24003,23662,23486,23338,23312,22030,21718,21631,21562,21456,21527,20532,21573,21659,21703,21815,21986,11466.0,11593.0,11499.0,11333.0,11298.0,11263.0,11214.0,11199.0,10647.0,10711.0,11290.0,11646.0,12173.0,12927.0,13424.0,13959.0,14621.0,14981.0,15467.0,15876.0,15765.0,15931.0,15436.0
80,80,22,11603.0,11863,11861,11972,12054,12040,12369,12330,11557,11422,11515,11335,11468,11723,11746,11819,11496,11170,10884,10453,10105,9770,9368,40057.0,40029,39914,39750,39645,39435,39312,39090,39068,39230,39249,37166,36889,36579,36547,36654,36849,35036,36327,36287,36122,35971,35993,24351.0,24106.0,23806.0,23368.0,23251.0,22645.0,22668.0,22269.0,21041.0,20901.0,21393.0,21493.0,22384.0,23082.0,23766.0,24165.0,24778.0,25304.0,25330.0,25310.0,24885.0,24304.0,23733.0
81,81,73,9305.0,9284,9196,9087,9178,9088,9267,9020,8383,8227,8143,7967,7965,8007,7966,7848,7604,7337,7167,6933,6803,6536,6435,25394.0,25257,25002,24807,24582,24501,24435,24212,24046,23727,23467,21724,21258,20845,20569,20285,20175,18892,19932,19443,19360,19290,19048,12040.0,12234.0,12252.0,11929.0,11817.0,11553.0,11649.0,11728.0,11417.0,11362.0,11679.0,11914.0,12475.0,12893.0,13147.0,13536.0,13697.0,13948.0,14056.0,14044.0,14015.0,13919.0,13546.0
82,82,73,6800.0,6933,6882,6805,6618,6613,6771,6638,6006,5828,5793,5541,5402,5385,5268,5128,4932,4632,4432,4262,4119,3890,3732,18503.0,18428,18148,17757,17357,17011,16644,16296,15782,15181,14768,13322,12819,12506,12098,11683,11429,10571,10856,10630,10433,10239,10076,7071.0,7219.0,7236.0,7026.0,6886.0,6542.0,6391.0,6257.0,5896.0,5762.0,5964.0,6115.0,6398.0,6639.0,6679.0,6886.0,7042.0,7168.0,7181.0,7198.0,7084.0,6924.0,6766.0
83,83,93,27027.0,27231,27435,26940,26947,27061,27691,27830,26565,26715,27417,27093,27496,28411,28691,28609,28183,27444,26750,25681,26081,24583,23744,66898.0,66818,66346,65874,65891,65709,65647,65354,65495,65710,65486,58010,56949,55785,54601,53172,51960,47500,49526,48077,47822,46651,45550,28102.0,27960.0,27639.0,26747.0,26516.0,25895.0,26109.0,26414.0,25755.0,25641.0,26646.0,26964.0,28154.0,29365.0,29650.0,30252.0,30973.0,31545.0,31710.0,30733.0,30842.0,30308.0,29977.0
84,84,93,15549.0,15598,15566,15462,15523,15414,15667,15426,14530,14237,14424,14101,13934,14132,14283,14152,13760,13678,13163,12773,12514,12162,11580,39390.0,39403,38986,38542,38206,38071,37717,37562,37324,37254,37220,35186,34736,34261,33865,33135,32648,30052,31647,31198,30545,29858,29228,22082.0,21957.0,21686.0,21327.0,20794.0,20537.0,20443.0,20740.0,20302.0,20648.0,21666.0,22051.0,22825.0,23846.0,24453.0,25061.0,25574.0,26230.0,26221.0,26092.0,26009.0,25613.0,25270.0
85,85,52,11148.0,11300,11189,11015,11050,10795,11060,10770,9697,9430,9389,9025,8888,8992,9025,8971,8925,8449,8035,8142,8264,8098,7920,49593.0,49243,48683,47925,47324,46539,45671,44610,43620,42505,41859,39894,38865,38113,37580,37113,36925,34974,36715,36698,36749,36634,36816,18680.0,18892.0,19146.0,19128.0,19019.0,18661.0,18780.0,18630.0,17239.0,16924.0,17644.0,18104.0,19078.0,19996.0,21005.0,21739.0,22814.0,23062.0,23025.0,23377.0,23223.0,22727.0,22102.0
86,86,54,7654.0,7542,7546,7517,7517,7603,7721,7480,6820,6540,6556,6218,6252,6287,6230,6373,6151,6058,5748,5712,5680,5509,5363,29197.0,28996,28656,28253,27998,27781,27489,27227,26959,26706,26416,24067,23530,23347,23199,22941,22878,21380,22517,22484,22405,22306,22089,18137.0,18444.0,18231.0,18039.0,17949.0,17661.0,17837.0,17832.0,16763.0,16527.0,17073.0,17332.0,17885.0,18651.0,18957.0,19385.0,19705.0,20038.0,20095.0,20014.0,19757.0,19456.0,18881.0
87,87,74,5829.0,5936,5905,5757,5656,5729,5777,5672,5087,4929,4993,4917,5060,5159,5274,5256,5020,4869,4741,4616,4542,4359,4290,22053.0,21823,21655,21402,21254,21096,20982,20724,20631,20401,20166,18431,17902,17762,17646,17474,17356,16133,17133,17012,16840,16849,16842,17696.0,17694.0,17711.0,17464.0,17436.0,16955.0,17010.0,17003.0,16302.0,16006.0,16270.0,16275.0,16554.0,16944.0,17056.0,17450.0,17791.0,18017.0,18153.0,18377.0,18322.0,18160.0,17766.0
88,88,41,8146.0,8258,8311,8345,8313,8407,8659,8544,7973,7654,7573,7358,7294,7249,7122,7134,7070,6937,6730,6664,6469,6114,5864,24789.0,25299,25589,25754,26109,26391,26679,26703,27099,27283,27365,25945,25724,25626,25824,26050,26294,25292,26427,26639,26675,26617,26744,15988.0,16385.0,16256.0,16133.0,16150.0,16049.0,16092.0,15873.0,15185.0,15283.0,15896.0,16056.0,16823.0,17416.0,17996.0,18692.0,19485.0,20282.0,20693.0,20935.0,20979.0,20773.0,20454.0
89,89,26,6456.0,6522,6499,6460,6670,6740,6833,6893,6340,6116,6203,6063,5920,6012,5952,5928,5812,5505,5256,4986,4772,4598,4307,23059.0,23024,23130,23080,23061,23079,23035,22998,23087,23162,23065,21655,21351,21138,21220,21202,21200,19840,20761,20635,20400,20267,20141,13219.0,13249.0,13240.0,13088.0,12564.0,12279.0,12374.0,12295.0,11766.0,11820.0,12082.0,12195.0,12323.0,12484.0,12805.0,13247.0,13585.0,13783.0,14162.0,14449.0,14250.0,13979.0,13655.0
90,90,43,2318.0,2383,2290,2396,2435,2390,2403,2450,2270,2177,2130,2089,1998,2008,2069,2052,2031,2025,1948,1920,1965,1869,1828,9848.0,9958,9891,9946,9958,9955,9985,9789,9873,9972,10031,9313,9250,9211,9261,9203,9170,8708,9197,9231,9187,9106,9125,8513.0,8594.0,8512.0,8391.0,8191.0,7964.0,8060.0,8066.0,7731.0,7630.0,7852.0,7880.0,8035.0,8086.0,8342.0,8576.0,8854.0,9039.0,9095.0,9339.0,9467.0,9318.0,9127.0
91,91,11,17229.0,17006,15985,15624,16231,16507,16575,16536,14619,14910,14645,14139,13929,14288,14710,15216,14107,14948,15419,15392,15101,14346,14206,108638.0,107529,105597,103980,102992,101956,101000,100294,100029,100178,99735,92746,90726,89717,88583,88094,87176,75339,85270,84708,83978,83067,81301,52632.0,51511.0,49434.0,46524.0,44828.0,43784.0,43534.0,43711.0,40551.0,41575.0,42772.0,41558.0,41194.0,41934.0,41876.0,41658.0,40950.0,41403.0,40541.0,40769.0,38541.0,36570.0,33432.0
92,92,11,15402.0,15951,16629,17692,18799,19145,19865,20695,19293,19023,19132,18645,18352,19243,20152,20970,21127,22096,22006,22436,22312,21663,20726,121507.0,121404,120068,118286,117145,116301,114384,112876,111942,110459,109101,101919,99987,98309,96939,95355,93428,70129,90971,89352,87793,86160,84927,60436.0,60165.0,59125.0,56966.0,55300.0,54472.0,53994.0,53997.0,50726.0,49967.0,51150.0,49578.0,49107.0,49162.0,48471.0,47360.0,46315.0,45847.0,42385.0,40253.0,37059.0,33342.0,28997.0
93,93,11,40323.0,40397,40059,39517,39520,39143,39398,40376,37857,37006,36660,35922,33908,34468,34207,34644,34004,33487,33281,32940,32001,32720,33820,137981.0,135339,132765,130570,128870,128024,126371,124912,123990,122458,121291,116038,113739,112125,111028,109546,108454,100507,104974,104497,103282,102887,102255,111058.0,109335.0,107164.0,103615.0,100171.0,97287.0,96502.0,98938.0,93557.0,92711.0,95196.0,95916.0,94693.0,95145.0,93838.0,90888.0,87584.0,85075.0,79679.0,77570.0,72073.0,66439.0,57484.0
94,94,11,21616.0,21740,21413,21482,22129,23294,23935,23519,21873,21601,22250,21975,21224,21983,21958,22476,21077,22576,23271,23669,23263,22544,21556,105284.0,104403,102575,101076,100382,99848,99383,97761,97224,96402,95736,89567,87577,86088,85289,83865,83634,71118,81768,81098,79998,78934,77733,64951.0,64396.0,62794.0,60641.0,59647.0,58313.0,56993.0,55900.0,52524.0,51610.0,52220.0,50991.0,49276.0,48752.0,48303.0,46844.0,44955.0,45368.0,41271.0,40154.0,37488.0,34762.0,31067.0
95,95,11,20929.0,20928,19965,19644,20181,20327,20004,19963,18341,18216,18500,17921,17640,17500,17274,16861,16643,17702,17226,17428,17238,16539,15886,107397.0,106696,104627,102998,102279,101593,100738,100067,100210,100150,99665,94367,92616,91856,91377,90603,90510,80878,88962,88898,87970,86624,85727,58081.0,58034.0,56596.0,54240.0,54141.0,53375.0,52135.0,52390.0,50112.0,50376.0,52616.0,52615.0,52127.0,52826.0,52804.0,52531.0,52519.0,54629.0,51950.0,50892.0,48341.0,45688.0,42067.0
96,971,01,24229.0,24295,24182,23953,24153,23852,23424,23088,21988,23872,23990,23109,21994,20831,20017,18747,17578,16193,15147,13345,11371,10478,8949,53905.0,54693,55586,56111,56731,57661,58172,60658,58346,63571,62872,62260,60567,59167,58289,56515,55403,50156,52514,50719,55140,54198,52495,,,,,,,,,,,,,,,,,,,,,,,
97,972,02,21361.0,21758,21940,21848,22368,22341,22096,21853,21766,21601,21814,21272,20783,20064,19563,18353,17000,16327,15150,13957,12911,12060,10680,45762.0,46711,47953,48718,49859,51166,51944,53632,53703,53719,53599,53208,52214,51300,50717,49834,49098,45474,47815,46894,51177,50335,48967,,,,,,,,,,,,,,,,,,,,,,,
98,973,03,11915.0,11149,10674,9787,9573,9315,9073,8823,8539,8322,8163,7860,7563,7248,7161,6837,6627,6414,5932,5376,4779,4052,3439,31962.0,31242,30561,29291,28397,28064,26952,26578,25614,24755,24026,22994,21655,20740,20264,19263,18656,16758,17479,16744,18116,16687,15356,,,,,,,,,,,,,,,,,,,,,,,
99,974,04,65336.0,65030,63472,62652,62420,61368,60591,58971,57535,56968,57434,56442,55786,54689,53507,51623,49180,46626,43504,40006,36993,34187,31160,129702.0,129357,128748,128250,128168,127329,126562,126850,125098,123408,121892,119865,116343,113778,111040,108639,106555,99165,101069,98192,107412,104571,101204,,,,,,,,,,,,,,,,,,,,,,,
