circo,candidat1,candidat2,candidat3,color1,color2,color3,score1,score2,score3,nom circo
87-2,JEAN-BAPTISTE DJEBBARI-BONNET,HUBERT HURARD,,REM,FI,,0.3565433180367827,0.19741630906486815,,Davy Champion
87-3,MARIE-ANGE MAGNE,CATHERINE BEAUBATIE,,REM,SOC,,0.27972169882048015,0.26675526015796974,,Davy Champion
88-1,ALISSON HAMELIN,SEBASTIEN HUMBERT,,REM,FN,,0.27189839770069535,0.20775571533868495,,Davy Champion
88-3,CLAUDE THIRARD,MARINA DO SANTOS,,REM,FN,,0.36347869647025666,0.24628629275863329,,Davy Champion
89-1,GUILLAUME LARRIVE,PAULO DA SILVA MOREIRA,,LR,REM,,0.34438951940001655,0.30024209863413404,,Davy Champion
89-2,JEAN-YVES CAULLET,EDWIGE JACQUET,,REM,FN,,0.3628933231955218,0.2132889717998582,,Davy Champion
89-3,JULIEN ODOUL,MICHELE CROUZET,,FN,REM,,0.28957371870760734,0.2848518231981586,,Davy Champion
9-1,JEROME AZEMA,BENEDICTE TAURINE,,REM,FI,,0.3343828599179493,0.2940822464482778,,Davy Champion
9-2,ALAIN FAURE,HUGUETTE BERTRAND-VINZERICH,,SOC,REM,,0.23011442863538956,0.20805661200075407,,Davy Champion
90-1,CHRISTOPHE GRUDLER,JEAN-RAPHAEL SANDRI,,MDM,FN,,0.34057201258530034,0.24964597288198148,,Davy Champion
90-2,MICHEL ZUMKELLER,BRUNO KERN,,UDI,REM,,0.26945842316433655,0.24647142634316432,,Davy Champion
91-1,MANUEL VALLS,FARIDA AMRANI,,DVG,FI,,0.279800846772936,0.22811662100827668,,Davy Champion
91-10,MALEK BOUTIH,PIERRE-ALAIN RAPHAN,,SOC,REM,,0.24134096556132192,0.22572172237194313,,Davy Champion
91-2,FRANCK MARLIN,DAPHNE RACT-MADOUX,,LR,MDM,,0.30925212729750834,0.2591517149055396,,Davy Champion
91-3,LAETITIA ROMEIRO DIAS,MICHEL POUZOL,,REM,SOC,,0.2527681421090069,0.24217766526515128,,Davy Champion
91-4,MARIE-PIERRE RIXAIN,AGNES EVREN,,REM,LR,,0.3340562197113259,0.20849174502883042,,Davy Champion
91-5,CEDRIC VILLANI,MAUD OLIVIER,,REM,SOC,,0.3071181595158354,0.22669011780252996,,Davy Champion
91-6,AMELIE DE MONTCHALIN,PHILIPPE JURAVER,,REM,FI,,0.3392227494330922,0.1745572728143073,,Davy Champion
91-7,MURIEL KERNREUTER,EVA SAS,,REM,ECO,,0.2536345190558904,0.24777612180481928,,Davy Champion
91-8,NICOLAS DUPONT-AIGNAN,ANTOINE PAVAMANI,,DLF,REM,,0.30023996490416643,0.2616254763804517,,Davy Champion
91-9,MARIE GUEVENOUX,VERONIQUE CARANTOIS,,REM,LR,,0.3157721143688464,0.22892349767408954,,Davy Champion
92-1,NASSER LAJILI,ALEXIS BACHELAY,,FI,SOC,,0.23894208071157533,0.23847751682245416,,Davy Champion
92-10,GABRIEL ATTAL,JEREMY COSTE,,REM,UDI,,0.39637953091639977,0.23278510161427324,,Davy Champion
92-13,FREDERIQUE DUMAS,GEORGES SIFFREDI,,REM,LR,,0.40842558229692405,0.2682544322824103,,Davy Champion
92-2,ADRIEN TAQUET,MARIE-DO AESCHLIMANN,,REM,LR,,0.4024487706083648,0.25481396557590563,,Davy Champion
92-3,CHRISTINE HENNION,JEAN SPIRI,,REM,LR,,0.3992240655353969,0.29935728079398993,,Davy Champion
92-4,ISABELLE FLORENNES,ROSSANA MORAIN,,MDM,FI,,0.3848121085317852,0.24929628886781102,,Davy Champion
92-5,CELINE CALVEZ,ARNAUD DE COURSON,,REM,LR,,0.3495346514912307,0.2785651862883113,,Davy Champion
92-6,LAURENT ZAMECZKOWSKI,CONSTANCE LE GRIP,,REM,LR,,0.29985382536226635,0.2951990751674375,,Davy Champion
92-7,JACQUES MARILOSSIAN,ERIC BERDOATI,,REM,LR,,0.40564554328595326,0.3455127284856566,,Davy Champion
92-8,JACQUES MAIRE,GILLES BOYER,,REM,LR,,0.4082298779591808,0.29775772980459664,,Davy Champion
92-9,THIERRY SOLERE,NINA SMARANDI,,LR,FN,,0.6846358059355544,0.06653063331396006,,Davy Champion
93-1,SEBASTIEN MENARD,ERIC COQUEREL,,REM,FI,,0.3179471166444907,0.26205646286816014,,Davy Champion
93-10,DANIEL GOLDBERG,BILLEL OUADAH,,SOC,REM,,0.28405991869916847,0.25213647588111565,,Davy Champion
93-11,ELSA WANLIN,CLEMENTINE AUTAIN,,REM,FI,,0.32259317439686047,0.294083014898674,,Davy Champion
93-12,STEPHANE TESTE,JUAN BRANCO,,REM,FI,,0.30141140193517413,0.17857904079079676,,Davy Champion
93-2,MATHIEU HANOTIN,VERONIQUE AVRIL,,SOC,REM,,0.2807095774923761,0.2219105414552927,,Davy Champion
93-3,PATRICE ANATO,DOMINIQUE DELAUNAY,,REM,FI,,0.3311595327056794,0.1955526777320698,,Davy Champion
93-4,MARIE-GEORGE BUFFET,PRISCA THEVENOT,,COM,REM,,0.37016634595648157,0.2824688280522518,,Davy Champion
93-5,JEAN-CHRISTOPHE LAGARDE,MALIKA MAALEM-CHIBANE,,UDI,REM,,0.28134264405695336,0.21505790032841318,,Davy Champion
93-6,ELISABETH GUIGOU,ALEXANDRE AIDARA,,SOC,REM,,0.2909650781573738,0.2536062340113419,,Davy Champion
93-7,RAZZY HAMMADI,HALIMA MENHOUDJ,,SOC,REM,,0.2068615444526264,0.19112772654100665,,Davy Champion
93-8,SYLVIE CHARRIERE,ELISABETH POCHON,,REM,SOC,,0.23141686496206101,0.22963562404689136,,Davy Champion
93-9,JEANNE DROMARD,SABINE RUBIN,,REM,FI,,0.31847616103302645,0.28124666298806333,,Davy Champion
94-1,FREDERIC DESCROZAILLE,ANDRE KASPI,,REM,LR,,0.36802410548426184,0.25839005514754,,Davy Champion
94-11,ALBANE GAILLOT,DJAMEL ARROUCHE,,REM,FI,,0.34788469996887,0.29889058616769926,,Davy Champion
94-2,JEAN-FRANCOIS MBAYE,FRANCOIS COCQ,,REM,FI,,0.3158295434204762,0.2786055193458601,,Davy Champion
94-3,LAURENT SAINT-MARTIN,DIDIER GONZALES,,REM,LR,,0.25352538007195885,0.2077946643489723,,Davy Champion
94-4,MAUD PETIT,MARIE-CAROLE CIUNTU,,MDM,LR,,0.35585160798411486,0.2277035972538864,,Davy Champion
94-5,GILLES CARREZ,NADINE RET,,LR,REM,,0.3123880462151631,0.3027541189199366,,Davy Champion
94-6,GUILLAUME GOUFFIER-CHA,LAURENCE ABEILLE,,REM,ECO,,0.30263637500503043,0.2382344097948424,,Davy Champion
94-7,JEAN-JACQUES BRIDEY,VINCENT JEANBRUN,,REM,LR,,0.516442532159321,0.19076430051195348,,Davy Champion
94-8,MICHEL HERBILLON,JENNIFER DOUIEB-NAHON,,LR,REM,,0.3411249806815547,0.32438321921710084,,Davy Champion
94-9,GAELLE MARSEAU,MARTINE LACHAUD,,REM,FI,,0.3267756963314209,0.2981515750459391,,Davy Champion
95-1,ISABELLE MULLER-QUOY,ANTOINE SAVIGNAT,,REM,LR,,0.2920344153977559,0.171853695676686,,Davy Champion
95-10,AURELIEN TACHE,DOMINIQUE LEFEBVRE,,REM,SOC,,0.29160462608710086,0.256917503758564,,Davy Champion
95-2,GUILLAUME VUILLETET,AXEL PONIATOWSKI,,REM,LR,,0.2910276532414286,0.2642141746070312,,Davy Champion
95-3,CECILE RILHAC,NICOLE LANASPRE,,REM,LR,,0.292032897664133,0.16523433429419612,,Davy Champion
95-4,NAIMA MOUTCHOU,CLAUDE BODIN,,REM,LR,,0.3200810086169146,0.23354536746733115,,Davy Champion
95-5,PHILIPPE DOUCET,FRANCOISE PACHA-STIEGLER,,SOC,FI,,0.26939171594089983,0.25074369204420094,,Davy Champion
95-6,NATHALIE ELIMAS,LUC STREHAIANO,,MDM,LR,,0.32187443041403124,0.19945009233087346,,Davy Champion
95-7,JEROME CHARTIER,DOMINIQUE DA SILVA,,LR,REM,,0.32097653921601405,0.3063109291249052,,Davy Champion
95-8,FRANCOIS PUPPONI,PAMELA HOCINI,,SOC,FI,,0.3779795679944859,0.29624642314081967,,Davy Champion
95-9,ZIVKA PARK,VERONIQUE DANET-DUPUIS,,REM,FI,,0.2949242536532346,0.22064840840348593,,Davy Champion
971-1,HARRY DURIMEL,OLIVIER SERVA,,ECO,REM,,0.26784700770320713,0.2504772029675902,,Davy Champion
971-2,LAURENT BERNIER,DIANA PERRAN,,LR,REM,,0.17505307816316523,0.15405861694807496,,Davy Champion
971-3,MAX MATHIASIN,CELINE DECHELETTE,,DVG,FI,,0.21537057800080378,0.069634299312124,,Davy Champion
971-4,GUILHEM SALTEL,CLAUDIA BOUCHER,,FI,DVD,,0.08847540265238155,0.08719308719507932,,Davy Champion
972-1,NATHALIE BETEGNIES,CHANTAL MAIGNAN,,FN,REM,,0.22465884258655605,0.20692971406093139,,Davy Champion
972-2,BRUNO-NESTOR AZEROT,KATIUCIA CANTINOL,,DVG,UDI,,0.4873099521233971,0.07799447301229437,,Davy Champion
972-3,SERGE LETCHIMY,MAX ORVILLE,,DVG,MDM,,0.3121444897945095,0.16735672417416952,,Davy Champion
972-4,JEAN-PHILIPPE NILOR,ERNEST KILO,,REG,FI,,0.4499024493274553,0.10857102219264529,,Davy Champion
973-1,GABRIEL SERVILLE,JOELLE PREVOT-MADERE,,DVG,REM,,0.3123505363091152,0.2666611126818634,,Davy Champion
973-2,CHANTAL BERTHELOT,JEAN-ETIENNE ANTOINETTE,,DVG,DVG,,0.3331626692889996,0.2693699015065124,,Davy Champion
974-1,ERICKA BAREIGTS,KARINE NABENESA,,SOC,MDM,,0.2458474946960651,0.21032055265534683,,Davy Champion
974-2,HUGUETTE BELLO,STEPHANE RANDRIANARIVELO,,DVG,MDM,,0.41046141048662105,0.16290320940270933,,Davy Champion
974-3,JEAN-JACQUES VLODY,JEAN-HUGUES LEBIAN,,SOC,FN,,0.32716661373893724,0.18581416539108414,,Davy Champion
974-4,DAVID LORION,CORINE BEDIER,,LR,FI,,0.20000993699892117,0.17015804240416788,,Davy Champion
974-5,MARIE-LUCE BRASIER-CLAIN,LEOPOLDINE SETTAMA-VIDON,,FN,REM,,0.21059929727789137,0.20173350442163795,,Davy Champion
974-6,MONIQUE ORPHE,ELODIE MARTIN CHARRON,,REM,FN,,0.2788877739673765,0.12948508453512655,,Davy Champion
974-7,THIERRY ROBERT,PERCEVAL GAILLARD,,MDM,FI,,0.3924180123027965,0.1831799718128775,,Davy Champion
975-1,ANNICK GIRARDIN,ROBERT LANGLOIS,,RDG,FI,,0.3810504511659618,0.32097386617159473,,Davy Champion
979-1,INES BOUCHAUT-CHOISY,CLAIRE JAVOIS,,REM,LR,,0.3414250950991333,0.19057244095990095,,Davy Champion
985-1,BOINALI SAID,SOIHIBOU ALI-MANSOIB,,DVG,FN,,0.3467558495030284,0.1163185560701421,,Davy Champion
985-2,IBRAHIM ABOUBACAR,MANSOUR KAMARDINE,,SOC,LR,,0.23041388950695083,0.18982048010067848,,Davy Champion
987-1,MAINA SAGE,TAUHITI NENA,,UDI,DVG,,0.321906417947219,0.21617781463662178,,Davy Champion
987-2,TEPUARAURII TERIITAHI,MIRI DUBIEF,,REM,FN,,0.22600060968970365,0.2084555204843816,,Davy Champion
987-3,TEIVA LANTEIRES,VINCENT DUBOIS,,FN,DVD,,0.2573906079596191,0.2092530728690527,,Davy Champion
988-1,GAEL YANNO,BERNARD DELADRIERE,,DVD,LR,,0.20263386766906108,0.17416246143021183,,Davy Champion
988-2,PHILIPPE GOMES,BIANCA HENIN,,UDI,FN,,0.4115837178613013,0.1808850049518631,,Davy Champion
10-1,NICOLAS DHUICQ,BRUNO SUBTIL,GREGORY BESSON-MOREAU,LR,FN,REM,0.33759346035197896,0.27658021658010457,0.27162356798691406,Davy Champion
10-2,JEAN-CHRISTOPHE LEFEVRE,DJAMILA HADDAD,VALERIE BAZIN-MALGRAS,FN,REM,LR,0.29170847564421976,0.2797827323952874,0.2517157095923903,Davy Champion
11-1,JEAN-CLAUDE PEREZ,DANIELE HERIN,CHRISTOPHE BARTHES,DVG,REM,FN,0.23471835087148857,0.21215672601365837,0.20739427248375558,Davy Champion
13-15,BERNARD REYNES,NATHALIE FARRO,JEAN-ALEXANDRE MOUSSET-SEISSON,LR,REM,FN,0.28571076496055364,0.24058926613371898,0.23113643632383293,Davy Champion
13-4,PATRICK MENNUCCI,JEAN-LUC MELENCHON,CORINNE VERSINI,SOC,FI,REM,0.2762206641919837,0.24344316128253168,0.24229836491324985,Davy Champion
13-9,BERNARD DEFLESSELLES,SYLVIE BRUNET,HERVE ITRAC,LR,MDM,FN,0.27666076777155957,0.24251810978476573,0.21790464314445485,Davy Champion
2-3,JEAN-LOUIS BRICOUT,PAUL-HENRY HANSEN-CATTA,ALAIN HUSILLOS-CRESPO,SOC,FN,MDM,0.2599319169688137,0.25578026719928076,0.22824347942000697,Davy Champion
21-5,DIDIER PARIS,HUBERT POULLOT,RENE LIORET,REM,LR,FN,0.30421620795237786,0.2426956909102597,0.2142852473780718,Davy Champion
28-4,PHILIPPE VIGIER,FABIEN VERDIER,VINCENT COLLO,UDI,REM,FN,0.3229971994121797,0.26333525021297577,0.25317681350123705,Davy Champion
34-6,ELIE ABOUD,EMMANUELLE MENARD,ISABELLE VOYER,LR,FN,REM,0.2397326643916756,0.22302300012297507,0.2216889711449517,Davy Champion
36-2,ISABELLE BRUNEAU,SOPHIE GUERIN,NICOLAS FORISSIER,SOC,MDM,LR,0.2539013394283443,0.21177283882815132,0.20814961043592667,Davy Champion
38-6,ALAIN MOYNE-BRESSAND,CENDRA MOTIN,GERARD DEZEMPTE,LR,REM,FN,0.3063728987806797,0.2590387826031411,0.25484136851618405,Davy Champion
41-2,JEAN-LUC BRAULT,GUILLAUME PELTIER,MATHILDE PARIS,REM,LR,FN,0.2954828032123569,0.25648771198787657,0.22567446173395692,Davy Champion
42-5,NATHALIE SARLES,CLOTILDE ROBIN,SARAH BROSSET,MDM,LR,FN,0.31042874098840034,0.22346112417370909,0.2117017797159224,Davy Champion
45-4,JEAN-PIERRE DOOR,LUDOVIC MARCHETTI,MELUSINE HARLE,LR,FN,REM,0.3154737535574634,0.2505310653905303,0.24454297620962212,Davy Champion
51-5,CHARLES DE COURSON,THOMAS LAVAL,BERTRAND TREPO,UDI,FN,REM,0.3075075650608067,0.26504440858587197,0.24949818761862516,Davy Champion
52-1,BERANGERE ABBA,ADRIEN GUENE,FABIENNE CUDEL,REM,LR,FN,0.2938418767895434,0.22472064592070135,0.21681435315855926,Davy Champion
52-2,FRANCOIS CORNUT-GENTILLE,FREDERIC FABRE,VINCENT BERTHET,LR,FN,REM,0.3212610038795872,0.2821271219851169,0.23584344649561695,Davy Champion
54-5,DOMINIQUE POTIER,BILLY WINKENS,MARION BUCHET,SOC,FN,REM,0.2528145316281817,0.21584588675096886,0.21066960931360731,Davy Champion
55-1,BERTRAND PANCHER,DIANA ANDRE,CORINNE KAUFMANN,UDI,REM,FN,0.29230396258100244,0.24945899419040432,0.2397094090794046,Davy Champion
57-5,CELESTE LETT,PASCAL JENFT,NICOLE GRIES-TRISSE,LR,FN,REM,0.28700679231428494,0.24304681217578153,0.2406607252639602,Davy Champion
6-2,LOIC DOMBREVAL,JEROME COCHET,ANNE SATTONNET,REM,FN,UDI,0.2683157805104027,0.2488372257073076,0.21508519480026317,Davy Champion
6-4,OLIVIER BETTATI,ALEXANDRA VALETTA ARDISSON,XAVIER BECK,FN,REM,LR,0.2826507955701514,0.2581502803364027,0.2385876591898879,Davy Champion
6-6,YOANN SALIBA,NATHALIE AUDIN,LAURENCE TRASTOUR-ISNART,FN,MDM,LR,0.28134256048654166,0.27640303531025223,0.2762532313391871,Davy Champion
60-1,OLIVIER DASSAULT,DENIS FLOUR,CLAIRE MARAIS-BEUIL,LR,REM,FN,0.2887941237532226,0.25329068329940363,0.2521905622377544,Davy Champion
66-2,FERNAND SIRE,CHRISTINE ESPERT,LOUIS ALIOT,LR,MDM,FN,0.24695042566836903,0.23130148889208488,0.23070693923521493,Davy Champion
67-7,PATRICK HETZEL,VIRGINIE JORON,ANTOINETTE DE SANTIS,LR,FN,REM,0.33226701038897866,0.2677804832156016,0.24760702080365854,Davy Champion
67-8,FREDERIC REISS,CHRISTIAN GLIECH,GERARD JANUS,LR,REM,FN,0.3117284637218141,0.25695041832569704,0.25642076607049363,Davy Champion
67-9,VINCENT THIEBAUT,LAURENT GNAEDIG,ETIENNE WOLF,REM,FN,LR,0.28995345434932185,0.24499060721162735,0.2422732338420409,Davy Champion
70-1,LEONIE CUGNOT,BARBARA BESSOT BALLOT,DIMITRI DOUSSOT,FN,REM,LR,0.28951218418166286,0.2722766608756372,0.21649284320081386,Davy Champion
72-1,CHRISTELLE MORANCAIS,DAMIEN PICHEREAU,FRANCOISE DUBOIS,LR,REM,SOC,0.2319904830801632,0.2304059871420523,0.22870453331102605,Davy Champion
77-4,CHRISTIAN JACOB,EMMANUEL MARCADET,PIERRE CHERRIER,LR,REM,FN,0.29223879690461263,0.2506096401274635,0.22762701125788473,Davy Champion
8-1,BERENGERE POLETTI,JEAN-PIERRE MORALI,SOPHIE LORENZO,LR,REM,FN,0.31988060181267913,0.26662998386359454,0.23916780046227937,Davy Champion
8-3,JEAN-LUC WARSMANN,CHRISTELLE VORILLION,AMANDINE BLOMME,LR,REM,FN,0.3324442469786444,0.24395101908230435,0.23754027837174954,Davy Champion
80-3,JEAN-CLAUDE BUISINE,BRUNO MARIAGE,PATRICIA CHAGNON,SOC,REM,FN,0.27412941077880243,0.2176012393549579,0.209648172866627,Davy Champion
83-2,PHILIPPE VITEL,RACHEL ROUSSEL,CECILE MUSCHOTTI,LR,FN,REM,0.26246587821610184,0.2368578442758213,0.23075141444648234,Davy Champion
83-4,PHILIPPE LOTTIAUX,SEREINE MAUBORGNE,FRANCOISE DUMONT,FN,REM,LR,0.2618976416856057,0.24998440859667703,0.2422717113793321,Davy Champion
83-5,PHILIPPE MICHEL-KLEISBAUER,GILLES LONGO,GUILLAUME DECARD,MDM,FN,LR,0.26432585811748205,0.24953571368003322,0.24280294309141423,Davy Champion
83-8,OLIVIER AUDIBERT-TROIN,FABIEN MATRAS,PIERRE JUGY,LR,REM,FN,0.2787522237928685,0.25399414588138375,0.24912111115569605,Davy Champion
84-2,JEAN-CLAUDE BOUCHET,THIBAUT DE LA TOCNAYE,SONIA STRAPELIAS,LR,FN,REM,0.2762240002255406,0.23250627160276208,0.23173487849602808,Davy Champion
84-4,JACQUES BOMPARD,CAROLE NORMANI,CATHERINE CANDELA,EXD,REM,FN,0.2299655219718495,0.21767363180339963,0.20975445161976922,Davy Champion
84-5,JULIEN AUBERT,JEAN VIARD,MARIE THOMAS DE MALEVILLE,LR,REM,FN,0.2715011460812485,0.25917394297643037,0.21586027262690577,Davy Champion
88-2,GERARD CHERPION,ISABELLE GERARD,CHRISTINE URBES,LR,FN,REM,0.3192009209033839,0.2593322336266185,0.24755305371788872,Davy Champion
88-4,RAYNALD MAGNIEN-COEURDACIER,CHRISTIAN FRANQUEVILLE,JORDAN GROSSE-CRUCIANI,MDM,SOC,FN,0.2168552411055981,0.21051004042904628,0.20678226401011096,Davy Champion
92-11,LAURIANNE ROSSI,JULIE SOMMARUGA,YASMINE BOUDJENAH,REM,SOC,FI,0.319289024542501,0.2754859443191252,0.21853648014739413,Davy Champion
92-12,JEAN-LOUIS BOURLANGES,JEAN-MARC GERMAIN,PHILIPPE PEMEZEC,MDM,SOC,LR,0.28880956604091956,0.2515086853715587,0.2282040292713765,Davy Champion
94-10,JEAN-LUC LAURENT,SHEERAZED BOULKROUN,MATHILDE PANOT,DVG,REM,FI,0.2697303394250799,0.25433437777919843,0.25119119364367454,Davy Champion
986-1,NAPOLE POLUTELE,HERVE-MICHEL DELORD,SYLVAIN BRIAL,DVG,LR,DVG,0.43214988400117255,0.37129892943011245,0.19655118656871493,Davy Champion
