circo,candidat1,candidat2,candidat3,color1,color2,color3,score1,score2,score3,nom circo
35-5,ISABELLE LE CALLENNEC,CHRISTINE CLOAREC,,LR,REM,,0.31797566356372714,0.31616889164916134,,Davy Champion
35-6,THIERRY BENOIT,NOLWENN VAHE,,UDI,REM,,0.30658731393740946,0.2862359305295366,,Davy Champion
35-7,GILLES LURTON,VALERIE FRIBOLLE,,LR,REM,,0.320233836099549,0.30702631935667957,,Davy Champion
35-8,FLORIAN BACHELIER,ENORA LE PAPE,,REM,FI,,0.35828143915545985,0.20063820311380995,,Davy Champion
36-1,JEAN-PAUL CHANTEGUET,PAULETTE PICARD,,SOC,LR,,0.3120896093042395,0.17036255343637655,,Davy Champion
37-1,PHILIPPE CHALUMEAU,JEAN-PATRICK GILLE,,REM,SOC,,0.27078497575938404,0.26040950713208544,,Davy Champion
37-2,CLAUDE GREFF,DANIEL LABARONNE,,LR,REM,,0.28797145800615487,0.2833734754708637,,Davy Champion
37-3,MARISOL TOURAINE,SOPHIE AUCONIE,,SOC,UDI,,0.3343784841197412,0.22324100648067166,,Davy Champion
37-4,LAURENT BAUMEL,FABIENNE COLBOC,,SOC,REM,,0.2411929644142379,0.23801516639606177,,Davy Champion
37-5,SABINE THILLAYE,FABRICE BOIGARD,,REM,LR,,0.28859615803560473,0.2238129618000128,,Davy Champion
38-1,OLIVIER VERAN,JEAN-DAMIEN MERMILLOD-BLONDIN,,REM,UDI,,0.3678362774484678,0.2048924459902616,,Davy Champion
38-10,JOELLE HUILLIER,MARJOLAINE MEYNIER-MILLEFERT,,SOC,REM,,0.23847551201304318,0.22315717025999687,,Davy Champion
38-2,JEAN-CHARLES COLAS-ROY,TAHA BOUHAFS,,REM,FI,,0.319840245130897,0.23907296627333482,,Davy Champion
38-3,MICHEL DESTOT,EMILIE CHALAS,,SOC,REM,,0.2543699973160182,0.252041147106444,,Davy Champion
38-4,FABRICE HUGELE,MARIE-NOELLE BATTISTEL,,REM,SOC,,0.2661911409371271,0.2485272303312374,,Davy Champion
38-5,CATHERINE KAMOWSKI,PHILIPPE LANGENIEUX-VILLARD,,REM,LR,,0.32052799264738707,0.19748401345666988,,Davy Champion
38-7,PIERRE DELACROIX,MONIQUE LIMON,,FN,REM,,0.2700898279652676,0.2675007269220329,,Davy Champion
38-8,ERWANN BINET,CAROLINE ABADIE,,SOC,REM,,0.24678344902071905,0.23146714182724515,,Davy Champion
38-9,ELODIE JACQUIER-LAFORGE,BRUNO GATTAZ,,MDM,LR,,0.32221568936565365,0.16306610345386827,,Davy Champion
39-1,DANIELLE BRULEBOIS,CYRILLE BRERO,,REM,LR,,0.29979769036202303,0.18419409150063712,,Davy Champion
39-2,MARIE-CHRISTINE DALLOZ,ANNE PROST-GROSJEAN,,LR,MDM,,0.31906902861503444,0.24875448982119944,,Davy Champion
39-3,JEAN-MARIE SERMIER,PAUL-HENRI BARD,,LR,MDM,,0.3111825345419576,0.2584096822917177,,Davy Champion
4-1,DELPHINE BAGARRY,ODILE BRUN,,REM,FN,,0.28303788557849885,0.2155818785673994,,Davy Champion
4-2,CHRISTOPHE CASTANER,LEO WALTER,,REM,FI,,0.3593104299342441,0.1675342939795486,,Davy Champion
40-1,GENEVIEVE DARRIEUSSECQ,MARIE-FRANCOISE NADAU,,MDM,LR,,0.3380081384462167,0.14591439854167298,,Davy Champion
40-2,LIONEL CAUSSE,SYLVIANE PACOT,,REM,LR,,0.3674011767882296,0.18105239938830214,,Davy Champion
40-3,JEAN-PIERRE STEINER,PHILIPPE DUBOURG,,REM,FI,,0.34422945294644536,0.20853449042533534,,Davy Champion
41-1,MARC FESNEAU,DENYS ROBILIARD,,MDM,SOC,,0.2590689122670891,0.25614815961852755,,Davy Champion
41-3,MAURICE LEROY,MARLENE MARTIN,,UDI,REM,,0.344395818277328,0.25404347055466164,,Davy Champion
